,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,8.123060512542725,0.08834877961499267,0.22798700332641603,0.002350471863421011,400,5,1,sqrt,30,True,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",-0.0017542517138429369,-0.001635911713535894,-0.0018857993172058409,-0.001587258289012114,-0.0019872754140461127,-0.0017700992895285795,0.00014982673202118584,34,-0.0004858235212827564,-0.0004944482242382743,-0.00048252076750131365,-0.0004982015786206171,-0.0004646566686796776,-0.00048513015206452776,1.1697365787455321e-05
1,21.23599190711975,0.0580882183659368,0.5412556648254394,0.01237293935487052,2000,5,1,sqrt,10,True,"{'n_estimators': 2000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-0.001715140330582617,-0.001592655936788971,-0.0018441458846134664,-0.0015540646973033147,-0.0019513063872541962,-0.001731462647308513,0.0001496880326127863,5,-0.001385420775614042,-0.0014031110399337317,-0.0013696046137069446,-0.0014233495413676338,-0.0013307711316775657,-0.0013824514204599837,3.144578169800148e-05
2,17.329702377319336,0.06734224136730076,0.3229799747467041,0.01167611457213733,1200,5,2,sqrt,10,False,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",-0.0017235610951847544,-0.0015935837462997516,-0.0018515330805532902,-0.001566486514464214,-0.0019600778080364903,-0.0017390484489076998,0.0001501227690940747,6,-0.0013320019204675533,-0.0013331567060210208,-0.001328603101327011,-0.001369242494388502,-0.0012727757017614984,-0.001327155984793117,3.095181857855801e-05
3,129.49122176170349,5.216573409728555,1.0495649337768556,0.02186460580528263,2000,2,4,auto,30,False,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 30, 'bootstrap': False}",-0.002783834754356794,-0.002516797036447938,-0.0028698408735842494,-0.002537572858979592,-0.002833258243722237,-0.002708260753418162,0.00015049029846272708,85,-0.0007923322825582586,-0.0008180441415161352,-0.0007702824293945651,-0.0008111255737882754,-0.0007633204350437187,-0.0007910209724601906,2.160357903777449e-05
4,16.71286873817444,0.060423080068041805,0.42946476936340333,0.01090785839673845,1600,2,4,sqrt,10,True,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-0.0017154431571556954,-0.0015892060427950077,-0.0018425802905689213,-0.0015513305933032282,-0.001954069899338911,-0.0017305259966323527,0.00015155055605338947,3,-0.0014548164508224387,-0.0014752076833177488,-0.0014365448769868318,-0.001492160462115924,-0.0013947827545953196,-0.0014507024455676525,3.3656046824021864e-05
5,20.264341735839842,0.3616078904343444,0.41951818466186525,0.007477986309595185,800,5,4,sqrt,30,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",-0.0017622834927589325,-0.0016370721191681721,-0.0018961683412808193,-0.0016020499491380836,-0.0019981499964340757,-0.0017791447797560166,0.00015065810419718828,47,-0.0005887217006545051,-0.0005928952409463243,-0.0005842482876919499,-0.0005993900629553718,-0.000560885596785033,-0.0005852281778066368,1.3153470914345776e-05
6,29.012114381790163,0.5260100740036289,0.6208659172058105,0.016201512196550232,1000,5,2,sqrt,100,False,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",-0.0017865290915115434,-0.0016632258125430714,-0.0019231860043703846,-0.001628051852254102,-0.002013032899991394,-0.0018028051321340992,0.00014763012806557303,67,-0.00022719291086825105,-0.00022730919045290974,-0.00023189191818705972,-0.00023403123926981205,-0.00021815871349745142,-0.0002277167944550968,5.460794413331318e-06
7,18.61237564086914,0.29483649867068773,0.3969107151031494,0.011101020052905107,600,5,1,sqrt,60,False,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': False}",-0.0017993983699790108,-0.0016803063138656267,-0.0019415370083678551,-0.0016409780615261455,-0.0020166006770652124,-0.00181576408616077,0.00014513508421846744,74,-0.00010740224959284506,-0.00010571949561241756,-0.00011054211370001089,-0.00011021621140555116,-0.00010407757083001597,-0.00010759152822816814,2.5093084912198023e-06
8,87.78602643013001,2.848552048987266,0.882219648361206,0.019484729706786014,1000,2,1,auto,50,False,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 50, 'bootstrap': False}",-0.0036742078867156233,-0.0033118201453025808,-0.0037446629252404435,-0.0032520482831308525,-0.003830644513498881,-0.003562676750777676,0.00023528024365003996,99,-3.244135559487295e-09,-3.1199241126593117e-09,-2.8023371919801556e-09,-2.233639019257854e-09,-3.0772895817750858e-09,-2.8954650930319403e-09,3.6102621740214794e-10
9,65.48963570594788,0.14534540610217397,0.47191610336303713,0.018655598119236755,1800,5,4,auto,10,False,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",-0.002053731729591871,-0.001806445433895059,-0.002107841174551675,-0.0017921879948572825,-0.0022197115389225057,-0.001995983574363679,0.00016932720938842802,78,-0.0014541955015651665,-0.0015034037407822718,-0.0014860924260745958,-0.0014925098928327757,-0.0013901378193246674,-0.0014652678761158957,4.0981108919310975e-05
