,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,split3_train_acc,split4_train_acc,mean_train_acc,std_train_acc
0,8.10430417060852,0.062369729988125754,0.23111906051635742,0.0011214400160027402,400,5,1,sqrt,30,True,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",-0.0017586881880948422,-0.0016382962224542204,-0.0018825110000412356,-0.0015864223649711226,-0.001983625923896427,-0.0017699087398915694,0.00014796574538726557,34,-0.0004887869248746276,-0.0004911509260100219,-0.0004819660326861136,-0.0005012181800329166,-0.00046594659730643946,-0.0004858137321820239,1.1697267765690736e-05,0.5343980343980343,0.5303030303030303,0.5327600327600328,0.5262080262080262,0.5268332650553053,0.5301004777448857,0.003206528070364662,25,0.8971024879696938,0.9043718644414867,0.8954643186239377,0.8977168014743524,0.9022317772317773,0.8993774499482496,0.00335669964372117
1,21.38341341018677,0.17571930278632297,0.531126070022583,0.01167241040149555,2000,5,1,sqrt,10,True,"{'n_estimators': 2000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-0.0017160283202082998,-0.0015925164493344592,-0.001846030983260125,-0.0015521756219571182,-0.0019527551874908924,-0.001731901312450179,0.0001508531946306686,5,-0.0013853734410977751,-0.0014053905094102363,-0.0013715664301800397,-0.0014240156116869036,-0.0013304700651742862,-0.0013833632115098481,3.187070596947164e-05,0.5495495495495496,0.538083538083538,0.5389025389025389,0.5438165438165438,0.5419909873002867,0.5424686315304914,0.004101962279295415,2,0.6492269888399713,0.6558820518071056,0.6407289853588615,0.6534247977884714,0.6569410319410319,0.6512407711470883,0.005888249167491424
2,17.505005884170533,0.28229885671679045,0.36471118927001955,0.009293270150230364,1200,5,2,sqrt,10,False,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",-0.0017221057062592703,-0.0015943411938499602,-0.0018525220122194183,-0.0015670741372496835,-0.001959765299999962,-0.0017391616699156589,0.00014992966610834853,6,-0.0013291023752130325,-0.0013365734537854577,-0.0013242909538148757,-0.001367306760937204,-0.0012688098362361117,-0.0013252166759973364,3.193192397515842e-05,0.547911547911548,0.5364455364455365,0.5343980343980343,0.5393120393120393,0.5350266284309709,0.5386187572996258,0.004945247775540785,7,0.6636633561994472,0.6682707074843862,0.6528104842838128,0.6679635507320569,0.6840704340704341,0.6673557065540274,0.010057691178654873
3,129.39574565887452,4.986672501439721,1.037960958480835,0.017204886046120846,2000,2,4,auto,30,False,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 30, 'bootstrap': False}",-0.0027837541735665976,-0.0025167779326555613,-0.0028698195099085854,-0.0025377254714171117,-0.002833274534352241,-0.0027082703243800194,0.00015045058079265596,85,-0.0007923322825582586,-0.0008180441415161352,-0.0007702824293945651,-0.0008111255737882754,-0.0007633204350437187,-0.0007910209724601906,2.160357903777449e-05,0.49795249795249796,0.5098280098280098,0.509009009009009,0.48894348894348894,0.5018435067595248,0.5015153024985061,0.007695564056567379,97,0.776799426640729,0.7796662229958022,0.7795638374116924,0.7848878877853999,0.7756961506961507,0.7793227051059548,0.0031832762583681824
4,16.865364694595335,0.10182642697301553,0.42650256156921384,0.007431108543286835,1600,2,4,sqrt,10,True,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-0.0017146098023359529,-0.0015904790553812696,-0.0018425774520294852,-0.0015519656284728775,-0.0019543037155594087,-0.0017307871307557989,0.00015124941736190082,3,-0.0014549236054642136,-0.001473999195107859,-0.0014365981335123777,-0.0014917435162296875,-0.0013937027220803715,-0.0014501934344789019,3.3738793238153326e-05,0.5462735462735463,0.5413595413595413,0.5364455364455365,0.5466830466830467,0.5432199918066366,0.5427963325136614,0.0037356131834660232,1,0.6472816627418859,0.6539367257090202,0.6421623835363981,0.6524009419473739,0.6609336609336609,0.6513430749736677,0.006334123622252624
5,20.26877498626709,0.3394264670595765,0.4213381290435791,0.014451204667609035,800,5,4,sqrt,30,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",-0.001762160031086796,-0.0016420332401045114,-0.0018956056753294548,-0.0016035224537114846,-0.0019966627983471798,-0.0017799968397158854,0.00014886561455015163,51,-0.0005878488099124306,-0.0005912535722223676,-0.0005849866639757312,-0.0005977680382306415,-0.0005613781198459928,-0.0005846470408374328,1.2390449408510365e-05,0.5286650286650286,0.5343980343980343,0.5278460278460279,0.5212940212940212,0.5178205653420729,0.5260047355090369,0.0058324343652286096,47,0.8840995187877547,0.8868639295587182,0.881027951264462,0.8851233746288523,0.8858517608517609,0.8845933070183095,0.001998799285161716
6,29.022836542129518,0.4946659388850386,0.6091940402984619,0.006620725663133603,1000,5,2,sqrt,100,False,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",-0.001784984757302833,-0.001663774121051121,-0.001922128520018706,-0.0016255090077062228,-0.0020130758194041435,-0.001801894445096605,0.000148005938803754,67,-0.00022781622896273423,-0.00022700952624771912,-0.00023109552818369934,-0.0002337940113745366,-0.00021878002668021204,-0.00022769906428978028,5.073909126139453e-06,0.5327600327600328,0.5274365274365275,0.5286650286650286,0.5155610155610155,0.5149528881605899,0.5238750985166389,0.007256708293956425,67,0.943483157571414,0.9456332548377189,0.9419473738097676,0.9452237125012798,0.9463554463554463,0.9445285890151253,0.0015997805988550446
7,18.708735990524293,0.3039722172691568,0.39291906356811523,0.00876846892589976,600,5,1,sqrt,60,False,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': False}",-0.0018025516715218948,-0.0016809293754563703,-0.0019433551471226102,-0.0016430982280440784,-0.002025103685865011,-0.001819007621601993,0.00014711791862408177,76,-0.00010816937120056448,-0.00010624803026945928,-0.000110189121950896,-0.00011094691678173334,-0.00010407101973321079,-0.00010792489198717277,2.529163412811934e-06,0.5364455364455365,0.5221130221130221,0.527027027027027,0.5212940212940212,0.5116755428103237,0.5237110299379861,0.008079752507090122,69,0.9575099825944507,0.9594553086925361,0.9559741988328043,0.9577147537626702,0.9571048321048321,0.9575518151974587,0.0011260775912546254
8,87.88829398155212,2.939668486739364,0.8775897979736328,0.01873227236107002,1000,2,1,auto,50,False,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 50, 'bootstrap': False}",-0.003677339195751144,-0.0033089720043497747,-0.003746875501191551,-0.0032511952253766944,-0.0038300029884909387,-0.0035628769830320208,0.00023661217714760334,100,-3.244135559487295e-09,-3.1199241126593117e-09,-2.8023371919801556e-09,-2.233639019257854e-09,-3.0772895817750858e-09,-2.8954650930319403e-09,3.6102621740214794e-10,0.5024570024570024,0.5057330057330057,0.5139230139230139,0.49795249795249796,0.5083981974600573,0.5056927435051155,0.0053933268887820535,92,0.9985666018224634,0.9994880720794512,0.9993856864953414,0.9994880720794512,0.9989762489762489,0.9991809362905913,0.00036052494152975263
9,65.67319102287293,0.18286312577833647,0.47755064964294436,0.024496061311812457,1800,5,4,auto,10,False,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",-0.0020537208167782225,-0.001806485658552634,-0.002107841174551675,-0.0017924000385894966,-0.002219716383476895,-0.0019960328143897844,0.00016926770853726994,79,-0.0014541955015651665,-0.0015034037407822718,-0.0014860924260745958,-0.0014925098928327757,-0.0013901378193246674,-0.0014652678761158957,4.0981108919310975e-05,0.5266175266175266,0.5196560196560197,0.5237510237510238,0.5257985257985258,0.5067595247849243,0.5205165241216039,0.007288062289904948,77,0.5908672058974096,0.589024265383434,0.5790928637247875,0.5951674004300195,0.6093366093366094,0.592697668954452,0.009847731969730563
