,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tol,param_kernel,param_gamma,param_epsilon,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,split3_train_acc,split4_train_acc,mean_train_acc,std_train_acc
0,15.931180429458617,1.1031713226797146,1.0116275310516358,0.01674917538150033,1e-10,rbf,scale,1e-10,"{'tol': 1e-10, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 1e-10}",-0.0017226388440001125,-0.0015871382323106246,-0.0018889501797767316,-0.0015504060808203724,-0.0019680261658517805,-0.0017434319005519242,0.00016354643536944306,41,-0.0017110012600899175,-0.0017416924538535532,-0.001675611987158259,-0.001749554455323835,-0.0016466497913125687,-0.0017049019895476268,3.907890710875837e-05,0.5495495495495496,0.5245700245700246,0.5343980343980343,0.5311220311220312,0.5383039737812372,0.5355887226841753,0.008307322739871429,49,0.5555441793795434,0.5638374116924337,0.5608682297532508,0.5629159414354459,0.560913185913186,0.5608157896347719,0.002875515540884044
1,15.174917888641357,0.95521975183683,1.0053092956542968,0.006550158383764503,1e-09,rbf,scale,1e-10,"{'tol': 1e-09, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 1e-10}",-0.0017226388444464631,-0.001587138231380784,-0.0018889501810013224,-0.0015504060810226004,-0.001968026168142054,-0.0017434319011986447,0.0001635464363350338,44,-0.0017110012608141298,-0.001741692453455558,-0.0016756119868270394,-0.0017495544550256096,-0.001646649791354937,-0.0017049019894954547,3.907890702529452e-05,0.5495495495495496,0.5245700245700246,0.5343980343980343,0.5311220311220312,0.5383039737812372,0.5355887226841753,0.008307322739871429,49,0.5555441793795434,0.5638374116924337,0.5608682297532508,0.5629159414354459,0.560913185913186,0.5608157896347719,0.002875515540884044
2,14.125186872482299,0.8216357222228422,1.0176690578460694,0.015365566344747445,1e-08,rbf,scale,1e-10,"{'tol': 1e-08, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 1e-10}",-0.001722638854341096,-0.0015871382223507082,-0.0018889501958626743,-0.0015504060804937035,-0.0019680261867207325,-0.0017434319079537828,0.00016354644568156317,47,-0.0017110012698476557,-0.0017416924497989526,-0.001675611983734638,-0.001749554452175444,-0.0016466497914214865,-0.0017049019893956355,3.907890641116593e-05,0.5495495495495496,0.5245700245700246,0.5343980343980343,0.5311220311220312,0.5383039737812372,0.5355887226841753,0.008307322739871429,49,0.5555441793795434,0.5638374116924337,0.5608682297532508,0.5629159414354459,0.560913185913186,0.5608157896347719,0.002875515540884044
3,13.094087505340577,0.5934773339100676,1.0221930027008057,0.016469755528660864,1e-07,rbf,scale,1e-10,"{'tol': 1e-07, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 1e-10}",-0.0017226388613905913,-0.001587138118417151,-0.0018889503252669377,-0.0015504061207853661,-0.001968026389823812,-0.0017434319631367714,0.0001635465346675765,51,-0.0017110013465610188,-0.00174169244294726,-0.001675611977790781,-0.0017495544203186115,-0.0016466498073431715,-0.0017049019989921685,3.9078896379968936e-05,0.5495495495495496,0.5245700245700246,0.5343980343980343,0.5311220311220312,0.5383039737812372,0.5355887226841753,0.008307322739871429,49,0.5555441793795434,0.5638374116924337,0.5608682297532508,0.5629159414354459,0.560913185913186,0.5608157896347719,0.002875515540884044
4,12.238737964630127,0.37164821999342096,1.0271350383758544,0.016080483755325604,1e-06,rbf,scale,1e-10,"{'tol': 1e-06, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 1e-10}",-0.0017226382395535318,-0.0015871376696528438,-0.0018889505658027514,-0.0015504064106667192,-0.0019680271391520642,-0.001743432004965582,0.0001635468164371634,52,-0.0017110024596547274,-0.0017416929238562385,-0.0016756117045504623,-0.0017495539110597765,-0.0016466501734688668,-0.0017049022345180143,3.907883710896252e-05,0.5495495495495496,0.5249795249795249,0.5343980343980343,0.5311220311220312,0.5383039737812372,0.5356706227660755,0.008199608346871425,36,0.5555441793795434,0.5638374116924337,0.5608682297532508,0.5630183270195557,0.560913185913186,0.5608362667515939,0.002890722571028136
5,11.63271164894104,0.13354438757510653,1.0409839630126954,0.015592391455878674,1e-05,rbf,scale,1e-10,"{'tol': 1e-05, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 1e-10}",-0.001722643369994864,-0.0015871387855588164,-0.001888936699118912,-0.0015504250481059188,-0.0019680424412140594,-0.001743437268798514,0.00016354380888713014,63,-0.0017110084029793053,-0.0017416949495530712,-0.0016756079444175164,-0.0017495503655144157,-0.0016466518719021577,-0.001704902706873293,3.9078651334598785e-05,0.5495495495495496,0.5262080262080262,0.5343980343980343,0.5315315315315315,0.5383039737812372,0.5359982230936758,0.007839831980082574,24,0.5557489505477629,0.5637350261083239,0.5606634585850312,0.5631207126036654,0.5607084357084358,0.5607953167106439,0.002812120329068262
6,11.247305345535278,0.07916459011194052,1.031848096847534,0.018334479905064253,0.0001,rbf,scale,1e-10,"{'tol': 0.0001, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 1e-10}",-0.0017227099750009617,-0.0015871882492870105,-0.0018888728808651553,-0.001550464334162703,-0.001968124816217854,-0.001743472051106737,0.00016353466634442079,68,-0.0017110436334907763,-0.0017417090543035039,-0.001675570056421389,-0.0017495226188938909,-0.0016466894894437952,-0.001704906970510671,3.907054572113156e-05,0.5487305487305487,0.5245700245700246,0.533988533988534,0.5311220311220312,0.5383039737812372,0.5353430224384752,0.008046141718902621,74,0.5556465649636532,0.5640421828606532,0.5606634585850312,0.5631207126036654,0.5612203112203112,0.5609386460466629,0.0029173460820827164
7,11.062769842147826,0.1535903191028345,1.0454673767089844,0.00960706231965482,0.001,rbf,scale,1e-10,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 1e-10}",-0.0017231746629921333,-0.001586594996956535,-0.0018886807716543927,-0.00155090186342039,-0.0019686944172446355,-0.0017436093424536172,0.00016365589739202575,72,-0.0017109470717052969,-0.0017418401578996633,-0.0016754895181092173,-0.0017496202110158499,-0.0016469531880196355,-0.0017049700293499327,3.9048238265892906e-05,0.5511875511875511,0.5286650286650286,0.5343980343980343,0.5278460278460279,0.5391233101188038,0.5362439904430891,0.008520263853351022,21,0.5555441793795434,0.5643493396129825,0.5624040135148971,0.5621992423466776,0.5604013104013104,0.5609796170510822,0.002991649797496972
8,10.069383811950683,0.1346522509427229,1.026875114440918,0.0023751025197783554,0.01,rbf,scale,1e-10,"{'tol': 0.01, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 1e-10}",-0.0017256251652577857,-0.0015872937795290496,-0.0018871406667772058,-0.0015516830333171681,-0.0019712485833208973,-0.0017445982456404212,0.00016371296184342014,79,-0.0017151161531060988,-0.0017434965688539492,-0.0016749705383181368,-0.0017491355107843822,-0.0016485920265485465,-0.001706262159522223,3.9007508210332745e-05,0.5446355446355446,0.5303030303030303,0.5348075348075348,0.5298935298935299,0.5419909873002867,0.5363261253879853,0.006018291871717144,19,0.5552370226272141,0.560765844169141,0.5584109757346166,0.563325483771885,0.5592751842751843,0.5594029021156082,0.0026682968198961507
9,5.29351282119751,0.17882565326137614,0.661295223236084,0.01985953762320155,0.1,rbf,scale,1e-10,"{'tol': 0.1, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 1e-10}",-0.0018721459484339104,-0.0017761303776006215,-0.0020654146092494,-0.0017460519343446628,-0.0020993496962168337,-0.0019118185131690856,0.00014575558070157538,192,-0.0018582620431741915,-0.001953505301287205,-0.001869057388183362,-0.0019124168940517353,-0.0017927200497396374,-0.0018771923352872261,5.408241612459484e-05,0.5094185094185094,0.4991809991809992,0.5245700245700246,0.4975429975429975,0.5108562064727571,0.5083137474370576,0.009709451963902277,172,0.5145899457356404,0.508856353025494,0.5077301116002867,0.520221152861677,0.5113636363636364,0.5125522399173469,0.00450088325956314
